"ENTITY_CD","SCHOOL_NAME","NUM_PRINC","NUM_TEACH","NUM_COUNSELORS","NUM_SOCIAL"
"100308020002","COLUMBIA-GREENE PARTNERSHIP ACADEMY-THE BRIDGE",1,3,1,1
"100501040003","TACONIC HILLSJUNIOR/SENIOR HIGH SCHOOL",1,66,3,0
"100501040006","TACONIC HILLS ELEMENTARY SCHOOL",1,67,2,0
"100902040003","GERMANTOWN ELEMENTARY SCHOOL",2,28,1,1
"100902040004","GERMANTOWN JUNIOR-SENIOR HIGH SCHOOL",1,29,3,0
"101001040001","MARY E DARDESS ELEMENTARY SCHOOL",1,40,2,0
"101001040002","CHATHAM HIGH SCHOOL",1,38,2,1
"101001040006","CHATHAM MIDDLE SCHOOL",1,29,1,1
"101300010001","HUDSON JUNIOR/SENIOR HIGH SCHOOL",1,48,2,1
"101300010003","MONTGOMERY C SMITH INTERMEDIATE SCHOOL",1,65,0,2
"101300010004","HUDSON JUNIOR HIGH SCHOOL",1,42,1,2
"101401040004","ICHABOD CRANE PRIMARY SCHOOL",1,51,1,0
"101401040005","ICHABOD CRANE SENIOR HIGH SCHOOL",1,58,3,0
"101401040006","ICHABOD CRANE MIDDLE SCHOOL",2,72,1,0
"101601040002","WALTER B HOWARD ELEMENTARY SCHOOL",1,21,0,0
"101601040003","NEW LEBANON JUNIOR-SENIOR HIGH SCHOOL",1,28,1,0
"110101040001","CINCINNATUS ELEMENTARY SCHOOL",1,25,0,2
"110101040002","CINCINNATUS HIGH SCHOOL",1,29,2,0
"110101040003","CINCINNATUS MIDDLE SCHOOL",2,33,0,0
"110200010003","FRANKLYN S BARRY SCHOOL",1,27,0,1
"110200010004","VIRGIL ELEMENTARY SCHOOL",1,10,0,0
"110200010008","ALTON B PARKER SCHOOL",1,13,0,1
"110200010009","RANDALL SCHOOL",1,14,0,1
"110200010010","F E SMITH SCHOOL",1,15,0,1
"110200010011","CORTLAND JUNIOR-SENIOR HIGH SCHOOL",3,66,3,2
"110200010012","CORTLAND JUNIOR HIGH SCHOOL",1,43,2,1
"110304040001","MCGRAW ELEMENTARY SCHOOL",1,17,1,0
"110304040002","MCGRAW SECONDARY SCHOOL",1,31,1,0
